"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030695","GTPase regulator activity","333/10517","433/28409",0.76905311778291,2.07740135239086,17.3207014792206,3.83110641640819e-65,2.50745914953916e-62,1.00415315545857e-62,"58175/211673/98366/210933/226970/54610/74018/18802/210293/15463/53972/98402/347722/227377/226407/14270/98710/329260/19735/19731/67792/19734/78255/29809/226652/24012/98732/213783/56533/78808/73910/94221/110279/237422/13998/66687/74694/117600/216439/52666/319939/17168/74563/192786/79566/380698/216805/16897/237782/216831/442801/57785/54189/380711/97761/109934/216963/18015/216991/58996/268480/544817/19739/14784/217325/19157/207592/192662/108903/20403/211914/16413/238130/11855/56784/20663/263406/217692/50779/217715/64242/68339/217835/217869/217944/14569/56349/140580/67046/51791/218397/544963/15357/110596/218581/268706/71704/24056/239027/268739/219140/68813/210789/105689/223254/105445/223435/13196/105841/66656/223666/72318/20401/105835/19387/66251/73167/223754/77980/223864/26934/83945/224014/19385/224045/78618/545156/207227/12549/21844/16443/24001/224617/22084/14570/240057/26382/19732/72238/71810/22324/19765/75415/225358/74002/106952/71302/107045/328967/108995/225870/20469/104252/19395/74760/14682/76088/226089/74055/209478/71085/192236/71972/107338/73728/98910/71435/215632/67839/22325/19730/107746/27387/99326/241308/66691/69601/227800/227801/76117/56508/108699/228355/77038/228359/228482/19419/19261/18795/27054/74030/241694/67231/228850/545481/18803/277360/99371/13605/213498/83409/16800/329727/99662/76123/57257/214137/29815/56692/229877/214804/73205/230098/381605/66212/68016/50780/329877/16476/108067/69780/100088/230784/230837/110351/72754/108911/213649/269608/140500/79264/213990/277854/71729/100855/231207/20563/212285/57915/320292/231532/14020/72542/192232/52850/26431/19415/56715/94254/54153/231801/66096/231821/19159/243362/320127/209773/243780/69993/20166/232227/259302/70727/243621/67425/232906/16801/101497/74206/233071/245886/233204/19158/75547/29875/22411/109689/207212/69710/76954/19347/319934/53322/70497/70314/68449/67865/330662/76484/101489/102098/213027/54126/17207/66790/19414/234094/50768/234353/71310/244548/67903/107566/74334/244654/244668/18186/71544/319899/330914/69632/21838/244867/270162/270163/102442/14697/19417/67016/114713/208869/56032/72825/235633/209815/75974/109904/236915/94190/245638/14163/245666/11856",333
"GO:0060589","nucleoside-triphosphatase regulator activity","333/10517","433/28409",0.76905311778291,2.07740135239086,17.3207014792206,3.83110641640819e-65,2.50745914953916e-62,1.00415315545857e-62,"58175/211673/98366/210933/226970/54610/74018/18802/210293/15463/53972/98402/347722/227377/226407/14270/98710/329260/19735/19731/67792/19734/78255/29809/226652/24012/98732/213783/56533/78808/73910/94221/110279/237422/13998/66687/74694/117600/216439/52666/319939/17168/74563/192786/79566/380698/216805/16897/237782/216831/442801/57785/54189/380711/97761/109934/216963/18015/216991/58996/268480/544817/19739/14784/217325/19157/207592/192662/108903/20403/211914/16413/238130/11855/56784/20663/263406/217692/50779/217715/64242/68339/217835/217869/217944/14569/56349/140580/67046/51791/218397/544963/15357/110596/218581/268706/71704/24056/239027/268739/219140/68813/210789/105689/223254/105445/223435/13196/105841/66656/223666/72318/20401/105835/19387/66251/73167/223754/77980/223864/26934/83945/224014/19385/224045/78618/545156/207227/12549/21844/16443/24001/224617/22084/14570/240057/26382/19732/72238/71810/22324/19765/75415/225358/74002/106952/71302/107045/328967/108995/225870/20469/104252/19395/74760/14682/76088/226089/74055/209478/71085/192236/71972/107338/73728/98910/71435/215632/67839/22325/19730/107746/27387/99326/241308/66691/69601/227800/227801/76117/56508/108699/228355/77038/228359/228482/19419/19261/18795/27054/74030/241694/67231/228850/545481/18803/277360/99371/13605/213498/83409/16800/329727/99662/76123/57257/214137/29815/56692/229877/214804/73205/230098/381605/66212/68016/50780/329877/16476/108067/69780/100088/230784/230837/110351/72754/108911/213649/269608/140500/79264/213990/277854/71729/100855/231207/20563/212285/57915/320292/231532/14020/72542/192232/52850/26431/19415/56715/94254/54153/231801/66096/231821/19159/243362/320127/209773/243780/69993/20166/232227/259302/70727/243621/67425/232906/16801/101497/74206/233071/245886/233204/19158/75547/29875/22411/109689/207212/69710/76954/19347/319934/53322/70497/70314/68449/67865/330662/76484/101489/102098/213027/54126/17207/66790/19414/234094/50768/234353/71310/244548/67903/107566/74334/244654/244668/18186/71544/319899/330914/69632/21838/244867/270162/270163/102442/14697/19417/67016/114713/208869/56032/72825/235633/209815/75974/109904/236915/94190/245638/14163/245666/11856",333
"GO:0140993","GO:0140993","323/10517","444/28409",0.727477477477477,1.96509533685059,15.7141578836025,1.42735500495579e-53,6.22802567162375e-51,2.49411506129116e-51,"170755/26921/98267/18711/269209/20872/11790/208727/269224/59041/17164/74137/75605/59125/19821/16589/23797/69726/226751/226778/226830/320119/18005/16798/20393/93759/108829/12534/110279/15468/70427/20869/103236/17347/208266/13144/77976/56480/100504608/12566/16886/69922/20868/76901/380698/216825/20877/216850/50932/14841/140859/16706/52615/217031/68729/217127/23989/14055/69847/15184/24086/78943/18750/107817/72344/11302/209011/104318/17977/19878/79221/207965/399510/71952/238323/217718/73086/110616/22367/52690/217866/17169/11651/19766/19134/12593/71340/17152/16468/218214/18676/75607/18193/69635/328329/54169/104416/27374/50523/15460/223255/105787/223435/56274/27373/223770/223775/170787/266632/56233/381022/12914/70511/224105/70238/51789/545156/209200/56637/72117/67014/67768/74112/26559/224440/13548/20112/72057/213389/67045/268930/18607/214917/20815/268936/106504/18712/17691/54402/110147/106763/224826/224836/18519/18140/193796/19106/225028/19877/15183/70425/240427/225888/58988/225876/240505/26412/56613/70999/13728/23942/225997/16452/76073/76055/20874/64707/667663/67121/77683/140858/269252/66617/59126/53416/329421/228012/228019/107435/11909/22138/15259/27103/12236/214230/58800/67333/241656/228714/12995/58231/17979/76367/665113/18706/269424/73251/13175/70762/15257/229675/99890/17451/192656/26409/76804/71148/108079/17346/17776/230674/70088/74178/433759/14050/20111/230809/68943/18602/18600/56717/70673/20817/231051/107823/64293/12753/140780/77630/12545/231580/22241/50883/75387/12704/71954/330177/333050/17165/30841/208043/67956/16885/22385/80752/231876/12190/15258/338523/109880/14056/13666/232187/269774/232232/72895/78783/232341/214899/28019/381813/232533/381979/232811/232944/11652/14113/70584/26411/15469/381983/71974/233328/18479/24075/117229/233789/18751/77035/104175/233902/233904/67773/72096/57740/75770/16150/244349/234135/18004/546071/320795/56527/13000/59035/12649/214162/70661/235344/11920/18746/13143/235441/56542/77853/75669/321006/102626/235626/245038/108737/209012/15185/20937/12361/22289/70415/19108/70315/67071/59026/20591/110651",323
"GO:0004674","protein serine/threonine kinase activity","315/10517","440/28409",0.715909090909091,1.93384628350636,15.1356154592829,9.20734767751535e-50,3.0131045274669e-47,1.2066471430007e-47,"170755/26921/98267/12747/12168/18711/269209/20872/11790/269224/59041/17164/226419/18557/74137/213452/59125/16589/23797/226751/226778/320119/18005/215303/16798/26408/20393/78334/12534/110279/20869/103236/17347/13144/77976/237459/69181/56480/12567/12566/16886/12323/69922/20868/26420/12750/380698/26397/23939/20877/50932/55984/14841/140859/18099/16706/18103/18604/69131/69847/53859/24086/26406/72149/78943/18750/26399/11302/104318/19878/66042/18760/71091/399510/18755/338372/238323/217718/73086/22367/12454/26448/217866/17169/11651/69562/19766/19134/71340/17152/75607/20963/26385/69635/105278/12572/328329/20620/26401/12325/18753/12166/50523/19229/223255/105787/223435/56274/223649/27373/223775/29857/19094/266632/19082/11479/26404/71751/224105/51789/545156/107589/56637/26559/13548/20112/26407/67045/268930/18607/20815/26416/106504/18712/17691/57261/14312/54402/13001/106763/12445/19106/75292/225028/18754/26410/19877/26405/70425/12322/225724/58988/110355/26403/240505/26412/56613/13728/225997/19091/20874/14773/227541/18761/667663/67121/263803/107951/59126/11480/269275/11477/53416/329421/228012/228026/65964/22138/15259/27103/12236/214230/58800/67333/241656/12995/228785/21969/58231/76367/665113/18759/18706/20873/13175/70762/69585/108097/15257/108058/12167/109333/18749/17451/192656/70568/26409/21754/21812/108079/17346/17776/230661/12795/74178/53608/20111/230809/68943/56717/18762/12537/12571/18647/27214/20817/66587/108099/192292/14772/64293/140780/19092/26414/12545/21814/231580/22241/50883/320129/12704/19079/330177/333050/17165/207565/16885/80752/231876/264064/15258/109880/13666/269774/52163/232341/232533/18752/381979/101540/232944/11652/269881/13549/70584/26411/381983/53415/233328/18479/16202/117229/233789/13631/18817/18751/104175/26417/68961/57740/75770/26400/16150/18004/546071/320795/18747/56527/13000/234878/12649/70661/235344/11920/102414/18746/26395/13143/50772/56542/22137/75669/321006/102626/235604/245038/21813/108737/11481/209012/12361/70415/19108/67071/110651",315
"GO:0106310","protein serine kinase activity","270/10517","363/28409",0.743801652892562,2.00919094390271,14.8363822523973,4.79049966284829e-48,1.25415281173368e-45,5.02246069915462e-46,"170755/26921/98267/12747/18711/269209/20872/11790/269224/59041/17164/226419/18557/74137/213452/59125/16589/23797/226751/226778/320119/18005/215303/16798/26408/20393/78334/12534/110279/20869/103236/17347/13144/77976/237459/69181/56480/12567/12566/16886/12323/69922/20868/26420/12750/380698/26397/23939/20877/50932/55984/14841/140859/18099/16706/69131/69847/53859/24086/26406/78943/18750/26399/11302/104318/19878/18760/71091/399510/18755/338372/238323/217718/73086/22367/26448/217866/17169/11651/69562/19766/19134/71340/17152/75607/69635/105278/12572/328329/20620/26401/12325/18753/50523/223255/105787/223435/56274/27373/223775/29857/19094/266632/26404/71751/224105/51789/545156/56637/26559/13548/20112/26407/67045/268930/18607/20815/26416/106504/18712/17691/106763/19106/75292/225028/18754/26410/19877/26405/70425/12322/225724/58988/26403/240505/26412/56613/13728/225997/19091/20874/227541/18761/667663/67121/263803/107951/59126/53416/329421/228012/65964/22138/15259/27103/12236/214230/58800/67333/241656/12995/58231/76367/665113/18759/18706/20873/13175/70762/15257/108058/109333/18749/17451/192656/26409/21754/108079/17346/17776/230661/12795/74178/53608/20111/230809/68943/56717/18762/12537/12571/18647/20817/66587/64293/140780/19092/26414/12545/231580/22241/50883/12704/330177/333050/17165/207565/16885/80752/231876/264064/15258/109880/13666/269774/52163/232341/232533/18752/381979/101540/232944/11652/269881/13549/70584/26411/381983/233328/18479/16202/117229/233789/18817/18751/104175/26417/57740/75770/26400/16150/18004/546071/320795/18747/56527/13000/234878/12649/70661/235344/11920/102414/26395/13143/50772/56542/22137/74769/75669/321006/102626/245038/108737/209012/12361/70415/19108/67071/110651",270
"GO:0003779","actin binding","313/10517","451/28409",0.694013303769401,1.8747003847851,14.3559309276267,7.31437793494452e-45,1.59575345280706e-42,6.39045651158311e-43,"13518/17912/17756/21961/22349/12570/227357/74117/12767/226541/21346/51810/13800/226841/64009/22288/215789/13822/17118/83767/171580/216033/12798/13629/237436/114774/237560/29856/18016/78926/13169/12808/13649/66713/20742/71774/30794/26936/14457/77579/18643/17913/237860/216961/360013/18126/12569/338367/66196/217124/217125/16796/68524/57778/328019/17896/11421/67803/238021/18453/208846/319565/263406/20741/109711/217692/238328/94040/212073/52690/14026/70435/11565/11472/218194/67252/75477/56320/67399/100503085/57748/544963/13803/17755/286940/218699/268709/68760/22330/16531/218952/63985/16475/140781/213019/13829/56419/17909/52589/20649/211401/11514/14083/11838/18810/17886/110253/18693/223701/170736/64099/58234/22379/65970/78885/239719/17880/224014/107589/13548/22350/69310/50873/17356/27361/76448/12488/76441/13823/213556/18754/225115/225288/30948/12385/13367/104027/68166/17919/23789/245857/20743/11474/12631/54132/27360/226251/71653/12296/74103/667663/97031/75454/20740/108897/227753/74192/71409/319876/241431/329421/215280/22138/70599/228421/14260/228545/68142/640524/17754/58800/668894/70997/20648/668940/13821/74189/229474/15191/72296/59069/70737/12340/99662/71994/118449/56376/68810/21894/21916/107684/230234/12331/11426/14201/15444/17357/269587/100169/242687/12345/230872/230917/56226/76580/231003/242894/22629/59003/231148/70292/22388/66999/77569/27428/74376/23790/231637/231646/63873/17906/56378/29816/215114/22628/231830/14086/66898/245880/243725/12343/73178/68794/109624/330319/20617/12332/19240/12386/11519/69538/68089/194401/13860/232533/67425/22323/80297/63986/60595/18301/233199/14453/20430/29875/434204/26557/80889/17921/16332/320878/57342/12721/69697/244281/66822/14300/72333/77113/270058/326618/67903/257632/234686/20650/244654/72042/234857/16412/55991/68743/208076/330938/19684/19200/270163/235431/74492/22003/70549/71602/17918/208943/50875/50876/17920/102502/56332/23999/13138/17897/76499/22351/22437/245049/208431/15185/20964/192176/17698/94190/54004/110380",313
"GO:0051020","GTPase binding","250/10517","338/28409",0.739644970414201,1.99796272363764,14.1507855525828,7.76341338837102e-44,1.45175830362538e-41,5.81380431189289e-42,"116837/74018/329165/19275/210293/77040/98402/226407/14270/329260/17970/29809/98732/107508/213783/83767/171580/209462/13144/216190/74053/74694/73192/117600/67588/103573/20742/66011/192786/72729/14799/16897/216831/57785/13543/18643/97761/280408/17913/380714/216963/19376/21927/268451/18053/16211/56208/57778/18195/56699/260302/70450/74370/192662/76820/19878/238130/208846/18755/263406/217835/27277/217866/70435/14569/67046/56705/218210/76895/105148/73296/218397/544963/238799/76582/20620/22330/55946/75751/57258/68813/65246/56419/105689/70572/223254/105445/116838/223601/17988/104445/106039/27008/105835/19387/22379/13544/78618/224105/17356/22084/215445/27756/72322/76441/72836/19765/260409/19877/30948/13367/15183/17919/225870/26403/104252/13660/226089/69104/74055/20170/213993/74998/98910/241275/18286/263803/227743/66691/227800/227801/71409/56508/50884/228359/228361/69470/16558/74030/56488/67231/12048/241770/110750/13605/58869/16800/57912/66641/100503311/229707/214459/109333/170822/52187/73205/100213/12757/11303/230584/230673/22608/54170/100088/110351/108911/13806/74155/13542/277854/14020/22241/192232/52850/23790/26431/75665/19894/208628/80291/75695/56715/14693/231830/231858/19353/243725/12389/320127/109880/11517/20166/52055/19349/78287/111173/19305/13860/243819/14470/101497/245886/69903/20430/75547/23991/29875/434204/233489/18479/19347/233726/74105/74204/233877/20909/330662/12176/213027/54126/75767/17274/320795/18747/212999/56513/74334/68051/116733/11765/244654/102058/74766/20660/320051/235380/26395/17918/19417/208869/56289/235633/54214/245049/72404/75974/192176/54411/54004/14163",250
"GO:0031267","small GTPase binding","225/10517","298/28409",0.75503355704698,2.03953107560594,13.8307038764658,4.7708729174577e-42,7.80634081119016e-40,3.12617725380781e-40,"116837/74018/329165/210293/98402/226407/14270/329260/17970/29809/98732/213783/83767/171580/209462/13144/216190/74694/73192/117600/67588/103573/66011/192786/72729/14799/16897/216831/57785/13543/18643/97761/280408/17913/380714/216963/19376/21927/268451/18053/16211/57778/18195/56699/260302/70450/74370/192662/76820/19878/238130/208846/18755/263406/217835/27277/217866/70435/14569/67046/56705/218210/76895/73296/544963/238799/76582/22330/55946/75751/57258/68813/65246/56419/105689/70572/223254/105445/116838/223601/17988/104445/106039/27008/105835/19387/22379/13544/78618/224105/17356/22084/215445/27756/72322/76441/72836/19765/260409/19877/13367/17919/225870/26403/104252/13660/226089/74055/20170/213993/74998/98910/241275/18286/263803/227743/66691/227800/227801/71409/56508/50884/228359/69470/16558/74030/56488/67231/241770/110750/13605/58869/16800/57912/66641/100503311/229707/109333/170822/73205/100213/11303/230584/230673/100088/110351/108911/74155/13542/277854/14020/22241/192232/52850/23790/26431/75665/19894/208628/80291/75695/56715/231830/19353/12389/320127/109880/11517/20166/52055/19349/78287/111173/19305/13860/243819/101497/245886/69903/20430/75547/23991/29875/434204/233489/18479/19347/233726/74105/74204/233877/20909/330662/213027/54126/75767/17274/320795/18747/212999/56513/74334/68051/116733/11765/244654/102058/74766/20660/320051/235380/26395/17918/19417/208869/56289/235633/54214/245049/72404/75974/192176/54411/54004/14163",225
"GO:0005096","GTPase activator activity","187/10517","238/28409",0.785714285714286,2.12240725899564,13.3313654966778,2.05701545217451e-39,2.99181469655159e-37,1.19812128091568e-37,"58175/98366/210933/54610/74018/15463/347722/226407/14270/19735/67792/19734/29809/226652/24012/98732/56533/78808/73910/110279/66687/74694/117600/216439/17168/216805/16897/237782/216831/442801/54189/380711/97761/109934/216963/18015/216991/58996/544817/19739/217325/207592/192662/108903/211914/238130/11855/56784/217692/50779/217835/217869/14569/67046/51791/218397/544963/218581/239027/68813/210789/13196/223666/20401/105835/19387/66251/73167/223754/26934/19385/78618/207227/12549/24001/224617/22084/14570/240057/72238/71810/19765/75415/225358/106952/71302/107045/108995/225870/20469/104252/14682/209478/71085/98910/71435/99326/66691/69601/227800/76117/108699/77038/228359/228482/18795/27054/74030/241694/67231/228850/545481/277360/13605/214137/214804/73205/381605/68016/50780/16476/69780/230837/110351/72754/213649/140500/213990/277854/71729/100855/212285/57915/231532/14020/72542/52850/26431/19415/54153/231801/231821/243362/69993/259302/232906/16801/74206/233071/245886/233204/29875/22411/109689/69710/70497/70314/68449/67865/101489/213027/66790/19414/50768/71310/244548/67903/244654/244668/18186/71544/330914/69632/21838/244867/270162/270163/14697/67016/114713/208869/56032/235633/209815/94190/245638/11856",187
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","265/10517","387/28409",0.684754521963824,1.84969014114959,12.9033750065271,1.47744367541226e-36,1.93397377111465e-34,7.74491526689794e-35,"17978/214855/20846/12912/14897/55927/18627/208727/18933/11545/209456/19130/12490/16798/14816/17684/15214/93759/641340/13654/20587/15468/21423/208266/16969/12952/15364/13198/57316/18148/15525/20185/192197/327987/19014/23989/16480/20851/20848/21428/19183/15184/52639/170930/22378/13435/17977/217410/14245/15902/79221/11622/26443/18035/15375/59036/15251/14281/26380/83602/52690/116870/665596/319182/15904/20184/18193/18708/218772/11792/14463/18095/15460/19645/67381/67154/22762/69790/211770/15499/56438/57259/19013/15370/19411/12914/83945/12929/15260/15205/224111/209200/56637/23872/20997/13388/21374/13560/15361/111241/68776/19015/21678/26416/56399/13163/20182/15511/193740/13001/20807/224829/268980/13819/210719/225182/72504/78656/72512/15183/56736/56070/170826/17128/17126/67655/18018/107392/19697/23942/109113/107765/212391/72199/16825/18572/21416/20181/18227/14725/72569/20687/11909/18024/12953/16909/27223/18538/228790/99311/56406/20779/19281/269389/58231/17979/12608/228980/15213/20674/50911/67738/17261/11863/18129/18072/321000/16842/12042/18124/19359/16600/76804/12578/16476/14084/21349/66233/230673/230753/73680/433759/26922/93760/18600/56381/71890/57320/22062/66993/22629/13016/19822/19017/19664/109108/19712/71990/20602/14886/58805/15507/21343/11461/67238/74132/14255/15289/114142/16543/21848/15258/11746/14461/22591/232286/22200/108655/20893/19016/14228/57436/79362/60595/243910/12606/22260/18226/75613/17258/11864/73845/109689/69710/24075/11865/18751/233904/67773/21804/57752/13017/21781/320165/66959/11886/320795/12317/58198/66083/234594/66894/22761/13433/50868/23871/20466/17127/67685/321006/12387/11614/11835/12069/20591",265
"GO:0015631","tubulin binding","270/10517","397/28409",0.680100755667506,1.83711917540726,12.8779669616084,2.05883013560696e-36,2.45000786137228e-34,9.81145844528484e-35,"21749/13518/26921/17756/67534/320982/16560/76707/16565/67886/19735/108989/74081/12301/103967/74895/66977/269152/110957/226841/23924/14360/28193/237436/17997/260315/17245/16572/14632/78926/73873/237711/103583/52570/16562/216963/54141/18015/19364/192197/66140/11640/18102/70218/17762/286942/58251/108903/16570/18080/320244/319670/68339/68519/16593/668303/380842/16553/104069/51791/75050/67269/72948/57748/21371/17755/16563/320234/64652/72972/219072/219103/382913/16554/72549/56419/52589/319613/17988/16581/319953/223723/29870/328580/16564/26934/239667/66793/74143/21844/13548/17858/22350/69310/50873/16580/100502766/72726/319991/240121/30960/68617/78785/50850/72416/56724/16573/212307/11789/225362/28105/68166/66468/78317/225898/16551/73689/56350/381350/68475/227634/329366/99412/13429/74410/20744/16574/75786/228421/14260/51944/76464/67809/68142/56398/108907/51885/17754/12125/70997/16558/13589/66734/71878/11538/56491/14683/20257/213582/229474/70762/15191/16800/360213/70737/100503311/56742/71994/229841/22253/17096/14595/214444/230376/67694/18578/73094/78933/17776/69216/11426/16765/66146/16559/108911/56273/16561/79264/100732/231093/15194/76071/19017/70681/63873/12589/56430/66711/269713/231807/77521/231912/15505/12190/13426/330319/20617/52250/13191/26903/52055/236266/67166/18294/14433/381979/19060/232933/72205/232943/232944/232987/76686/56330/14453/16576/269954/233406/14159/434204/18479/17760/101706/20866/18817/110033/71007/74004/381933/74237/69697/54126/259279/14272/320191/102103/69281/382010/270058/76478/56527/170833/74187/16582/67971/102124/74334/67443/234857/73420/13430/67629/235180/272589/330938/71819/50875/68121/13138/17758/235626/76499/320256/15185/14168/14265/26370/22327/23947/17318",270
"GO:0044389","ubiquitin-like protein ligase binding","237/10517","350/28409",0.677142857142857,1.82912916502533,11.9662188513726,1.14042560317651e-31,1.24401426213171e-29,4.98185921387635e-30,"20846/22218/329165/14367/56812/19275/26554/70247/51800/12043/64143/12767/226418/67196/12301/11758/11545/22033/268281/13654/20610/59004/69754/93765/12461/20847/18813/13867/56218/22433/13649/67030/68585/22210/22187/55943/18626/216853/20020/216869/67128/12928/22032/18099/67338/68729/18053/13866/56208/12006/19084/170930/11465/217365/15239/67241/217410/19088/18035/19167/15251/217692/110616/22031/12709/70369/665596/319182/19766/20963/76577/432763/12328/17129/73296/105377/268697/18708/14198/22330/268749/18002/12759/19229/213019/19645/114128/22631/67819/211770/17869/110862/110253/56438/19387/22143/110213/11479/69053/224111/51789/209200/56637/14109/30940/66616/69310/50873/21454/11984/56424/12005/12575/58230/12411/13163/15511/193740/224727/22154/15516/78309/66515/72416/14370/11789/15526/72512/67847/17131/17126/110355/19697/107260/20411/226144/226151/226178/78832/20844/76857/215705/99152/22030/59126/21353/18024/228361/72446/18508/228775/14950/16396/66734/68612/21939/12608/56458/229285/50754/229512/24045/56338/12042/18749/17096/26409/230073/12017/269523/21812/16476/16451/14084/230674/16792/19891/67025/68943/68350/21938/18628/230979/20481/140499/18669/16511/22393/19017/100503670/50883/14357/22190/14255/65255/14763/26965/69228/58186/12122/11628/57436/12576/66245/21849/60595/243897/14751/22088/76375/14366/109689/11785/99375/67384/244373/52065/22186/17125/18747/12317/93739/67443/72828/53376/56469/17127/17130/20818/71472/19087/12387/15185/72584/53310/58194/17318",237
"GO:0003713","transcription coactivator activity","195/10517","273/28409",0.714285714285714,1.92946114454149,11.8309115317492,4.63584522776628e-31,4.66793954088158e-29,1.86935297443531e-29,"26754/17978/18627/74106/27878/30941/17684/215031/67500/93759/641340/71371/20587/15468/208266/17938/52915/58172/18148/211652/104625/103806/22416/216825/56310/216874/217031/327987/68729/217069/18103/19014/23989/16480/19183/217218/22378/17977/14245/17933/109711/52690/71963/116870/11472/19720/17152/18676/57748/54169/328365/11792/219103/67381/21807/219249/20024/67154/22762/69790/223701/74716/21411/67057/381022/67488/12914/239719/74112/224440/13548/15361/111241/68776/72462/57261/13163/20182/224829/18519/64898/116871/268996/78656/14815/170826/13176/225895/23942/67155/60533/107765/54132/72199/16825/226169/93679/67788/59022/18128/68975/227737/16909/228790/56406/64899/269389/17979/269397/14173/269424/433586/97064/329650/67037/74343/77578/12042/69807/76804/101739/72475/56222/56309/230753/67525/66464/68703/57320/70673/66993/231051/13016/19017/109108/56361/67151/21343/100683/15289/21848/15258/80292/22591/232286/19016/214899/13498/28019/109593/21849/55942/13549/60595/22088/22215/70461/109689/269966/109594/18751/67773/21804/13017/22286/234023/244349/320165/97165/382056/234388/320795/26992/244579/107566/12400/80707/102162/11797/22601/270118/59035/23871/80288/100502940/69809/244879/18746/12387/72693/72065/94275/668166/12705/23947",195
"GO:0035173","histone kinase activity","188/10517","261/28409",0.720306513409962,1.94572480169855,11.7678759843704,9.16675545372283e-31,8.57091634923085e-29,3.43236407214584e-29,"170755/26921/98267/18711/269209/20872/11790/269224/59041/17164/74137/59125/16589/23797/226751/226778/320119/18005/16798/20393/12534/110279/20869/103236/17347/13144/77976/56480/12566/16886/69922/20868/380698/20877/50932/14841/140859/16706/69847/24086/78943/18750/11302/104318/19878/399510/238323/217718/73086/22367/217866/17169/11651/19766/19134/71340/17152/75607/69635/328329/50523/223255/105787/223435/56274/27373/223775/266632/224105/51789/545156/56637/26559/13548/20112/67045/268930/18607/20815/106504/18712/17691/54402/106763/19106/225028/19877/70425/58988/240505/26412/56613/13728/225997/16452/20874/667663/67121/59126/53416/329421/228012/22138/15259/27103/12236/214230/58800/67333/241656/12995/58231/76367/665113/18706/13175/70762/15257/17451/192656/26409/108079/17346/17776/74178/20111/230809/68943/56717/20817/64293/140780/12545/231580/22241/50883/12704/330177/333050/17165/16885/22385/80752/231876/15258/109880/13666/269774/232341/232533/381979/232944/11652/70584/26411/381983/233328/18479/117229/233789/18751/104175/57740/75770/16150/18004/546071/320795/56527/13000/12649/70661/235344/11920/18746/13143/56542/75669/321006/102626/245038/108737/209012/12361/70415/19108/67071/110651",188
"GO:0008017","microtubule binding","197/10517","279/28409",0.706093189964158,1.90733112424567,11.6766931117455,2.79792770780611e-30,2.44165824634546e-28,9.77802104201712e-29,"21749/13518/26921/17756/16560/76707/16565/67886/74081/103967/74895/66977/269152/226841/23924/28193/237436/260315/17245/16572/14632/78926/73873/237711/103583/52570/16562/54141/18015/66140/11640/70218/17762/286942/58251/16570/18080/319670/68339/68519/668303/16553/51791/75050/72948/57748/17755/16563/320234/72972/219072/382913/16554/72549/56419/319613/17988/16581/29870/328580/16564/26934/74143/21844/17858/22350/16580/100502766/319991/240121/30960/68617/78785/50850/56724/16573/212307/11789/225362/68166/66468/78317/225898/16551/56350/381350/68475/227634/329366/99412/13429/20744/16574/75786/228421/14260/51944/76464/67809/56398/108907/51885/17754/12125/70997/16558/13589/66734/71878/56491/213582/229474/70762/16800/360213/70737/56742/71994/229841/214444/230376/73094/17776/69216/11426/66146/16559/108911/56273/16561/79264/100732/76071/70681/63873/56430/66711/269713/77521/231912/13426/20617/52250/13191/26903/236266/18294/14433/19060/232933/72205/232943/232944/76686/14453/16576/233406/14159/434204/17760/101706/20866/18817/110033/71007/74004/381933/74237/69697/259279/14272/320191/102103/69281/382010/270058/76478/56527/170833/74187/16582/102124/67443/234857/73420/13430/67629/71819/50875/17758/76499/15185/14168/14265/26370/23947/17318",197
"GO:0042578","phosphoric ester hydrolase activity","237/10517","355/28409",0.667605633802817,1.80336678241934,11.6779731565793,3.09161712996912e-30,2.52932926445598e-28,1.01291140179251e-28,"19253/269180/16329/227120/21961/227292/18802/433323/16331/67444/67446/98432/18640/80915/68440/63953/19250/226849/73419/29863/14051/18605/19272/69692/103199/57319/27355/216152/14672/103466/67603/237523/17931/19279/319468/52468/170835/319939/79560/19052/103850/18806/19062/237860/20304/56405/53892/320472/170749/237928/12799/72349/72469/50773/238011/14245/19042/81535/24000/104884/19276/56196/218232/14120/218294/218461/238871/19012/19270/27389/70021/19256/72391/11792/219024/105651/14083/19245/100503915/57028/66513/209039/18574/68606/77626/433022/104015/20975/23984/67078/19252/18585/21770/224860/19280/19274/64898/19043/225600/114663/67655/245857/18797/14682/17330/19211/70567/74055/76952/240672/170768/75454/64436/110854/227721/67857/73373/241489/18573/19271/77015/329506/19262/12531/74182/18795/18798/252864/56045/18803/64899/19281/19246/14683/228966/18583/18805/12457/269437/242083/66659/11928/229776/242202/74776/19055/242291/381511/72519/272031/545622/19266/72685/18578/67916/19268/230718/19244/19273/14050/100340/11647/269614/269615/68991/19248/242864/14208/15194/19023/67870/19249/403178/72542/231630/231637/19247/320717/100678/18979/269823/18575/107569/243382/97287/319801/70686/78600/19277/54611/19060/18807/66525/59047/19259/18584/233552/207728/16332/18576/56209/56420/101490/76429/19267/212111/18218/71910/66959/19053/319520/244416/320981/110385/15368/234515/382051/58994/244650/234779/18577/235044/72828/56294/23959/235534/67905/235584/270198/12530/104831/69274/18799/12768/75590/71584/18639",237
